SAMPLE_ID	CTBP1	AR
TCGA-KK-A59Y-01	2.0751	-0.969
TCGA-KK-A59Z-01	-1.9893	-0.3342
TCGA-EJ-A65E-01	-1.9336	-0.6421
TCGA-EJ-A65G-01	-0.3894	-0.7317
TCGA-EJ-A65M-01	-1.1016	-1.0653
TCGA-FC-7961-01	-1.2641	-0.3086
TCGA-FC-A5OB-01	-1.8766	-0.2567
TCGA-HC-7817-01	-0.5929	-0.7734
TCGA-HC-8213-01	0.1843	-0.5659
TCGA-HC-8216-01	-0.4847	-0.6127
TCGA-HC-A631-01	0.7295	-0.5014
TCGA-HC-A632-01	0.3706	-0.803
TCGA-J4-8200-01	-0.9172	-0.4939
TCGA-J9-A52D-01	-0.42	0.5283
TCGA-KK-A59V-01	0.6396	-1.0194
TCGA-KK-A59X-01	-1.7565	-0.7485
TCGA-KK-A5A1-01	-1.5959	-0.667
TCGA-EJ-A65B-01	0.4285	-1.0761
TCGA-EJ-A65D-01	2.9076	-1.007
TCGA-FC-A66V-01	1.2338	-1.0856
TCGA-H9-A6BY-01	2.4679	-1.0847
TCGA-HC-A6AL-01	0.8527	-1.0071
TCGA-HC-A6AN-01	0.7932	-1.0574
TCGA-HC-A6AO-01	-0.7514	-1.0638
TCGA-HC-A6AP-01	-0.3136	-1.0904
TCGA-HC-A6AQ-01	2.1364	-1.0752
TCGA-HC-A6AS-01	1.3325	-1.0545
TCGA-J4-A67K-01	2.4163	-1.0482
TCGA-J4-A67L-01	1.0888	-1.0856
TCGA-J4-A67M-01	1.0396	-1.1068
TCGA-J4-A67N-01	2.7947	-1.0287
TCGA-J4-A67O-01	1.0047	-1.135
TCGA-J4-A67Q-01	1.3825	-1.125
TCGA-J4-A67R-01	1.2758	-1.1082
TCGA-J4-A67S-01	2.4181	-1.1029
TCGA-KK-A6E3-01	0.6761	-1.0892
TCGA-KK-A6E4-01	2.6392	-1.0734
TCGA-EJ-A65F-01	-0.9436	0.3656
TCGA-EJ-A65J-01	-0.9517	0.4221
TCGA-G9-6339-01	2.0612	-1.0462
TCGA-G9-6354-01	0.5539	-1.0814
TCGA-G9-6498-01	0.7462	-0.9469
TCGA-H9-A6BX-01	-0.1078	-0.7289
TCGA-J4-A67T-01	0.0455	-0.4306
TCGA-J4-A6G1-01	-0.2076	-0.793
TCGA-J4-A6G3-01	-1.328	-0.4593
TCGA-KK-A6DY-01	-0.2948	-0.5107
TCGA-KK-A6E0-01	-1.1261	-0.5933
TCGA-KK-A6E1-01	-0.63	0.3088
TCGA-KK-A6E2-01	-0.0872	0.0471
