Hybridization REF	CTBP1|1487	AR|367
TCGA-EJ-7328-11A-01R-2118-07	2863.5101	1242.842
TCGA-HC-8258-11A-01R-2263-07	2861.3147	958.3647
TCGA-FC-A4JI-01A-11R-A250-07	2857.9088	649.286
TCGA-V1-A9Z9-01A-21R-A41O-07	2851.9294	359.4267
TCGA-HC-7078-01A-11R-2118-07	2842.1182	808.7527
TCGA-VP-A87D-01A-11R-A352-07	2837.1853	880.5748
TCGA-G9-7519-01A-11R-2263-07	2830.3786	261.5325
TCGA-EJ-7797-11A-01R-2263-07	2826.0675	485.107
TCGA-ZG-A9L1-01A-11R-A41O-07	2825.9364	592.013
TCGA-HC-A6AO-01A-11R-A30B-07	2822.5153	53.2223
TCGA-V1-A9O7-01A-21R-A41O-07	2820.9406	614.2358
TCGA-EJ-7792-11A-01R-2118-07	2820.5638	791.2381
TCGA-EJ-7786-01A-11R-2118-07	2807.1576	1797.2252
TCGA-CH-5739-01A-11R-1580-07	2806.4229	1239.6661
TCGA-EJ-5531-01A-01R-1580-07	2804.9318	1406.6382
TCGA-TK-A8OK-01A-22R-A36G-07	2796.5589	551.8158
TCGA-XK-AAJ3-01A-11R-A41O-07	2796.2959	947.3191
TCGA-HC-7736-01A-11R-2118-07	2777.8695	1241.4519
TCGA-EJ-8469-01A-11R-2403-07	2771.1793	1291.4977
TCGA-EJ-5512-01A-01R-1580-07	2767.915	538.8102
TCGA-EJ-A46H-01A-31R-A26U-07	2750.119	653.3333
TCGA-HC-7738-01A-11R-2118-07	2749.107	972.231
TCGA-EJ-7794-01A-11R-2118-07	2744.6337	1613.1435
TCGA-CH-5789-01A-11R-1580-07	2720.4184	1067.2491
TCGA-YL-A8SL-01B-21R-A37L-07	2718.9713	750.878
TCGA-CH-5771-01A-21R-1580-07	2716.5262	861.2784
TCGA-CH-5752-01A-11R-1580-07	2715.4965	2359.4455
TCGA-CH-5738-01A-11R-1580-07	2715.4687	902.8625
TCGA-ZG-A9N3-01A-11R-A41O-07	2703.9813	395.5066
TCGA-EJ-5522-01A-01R-1580-07	2703.1278	1167.24
TCGA-4L-AA1F-01A-11R-A41O-07	2699.0559	390.2122
TCGA-EJ-7783-01A-11R-2118-07	2696.1715	2669.7185
TCGA-EJ-7785-11A-01R-2118-07	2694.7857	710.1195
TCGA-HC-A48F-01A-11R-A250-07	2678.6639	595.0207
TCGA-EJ-7218-01B-11R-A32O-07	2674.551	583.5211
TCGA-VN-A88O-01A-11R-A352-07	2672.1048	367.3986
TCGA-HC-7740-11A-01R-2118-07	2668.7681	956.9591
TCGA-EJ-7784-11A-01R-2118-07	2666.3993	1234.4441
TCGA-HC-7737-11A-02R-2118-07	2664.574	1208.8248
TCGA-J4-8200-01A-11R-A29R-07	2664.4623	357.4129
TCGA-EJ-5506-01A-01R-1580-07	2661.8365	814.7436
TCGA-ZG-A8QY-01A-11R-A37L-07	2660.415	349.2364
TCGA-CH-5750-01A-11R-1580-07	2655.2239	1370.8803
TCGA-G9-7523-01A-11R-2263-07	2654.081	214.6184
TCGA-VP-A87B-01A-11R-A352-07	2650.4027	979.3065
TCGA-CH-5765-01A-11R-1580-07	2646.0777	923.373
TCGA-2A-AAYF-01A-11R-A41O-07	2645.989	808.5739
TCGA-EJ-7331-11A-01R-2118-07	2642.4749	1346.3711
TCGA-EJ-A65F-01A-21R-A311-07	2639.2872	816.1349
TCGA-EJ-7317-01A-31R-2118-07	2633.6723	913.2771
TCGA-EJ-A65J-01A-11R-A311-07	2631.5371	846.2867
TCGA-V1-A8MF-01A-11R-A36G-07	2625.6246	346.9256
TCGA-HC-7737-01A-11R-2118-07	2611.226	645.6572
TCGA-EJ-7783-11A-01R-2118-07	2596.3105	266.2942
TCGA-EJ-5518-01A-01R-1580-07	2583.6138	1906.4999
TCGA-EJ-7785-01A-11R-2118-07	2576.2809	1844.8515
TCGA-ZG-A8QX-01A-11R-A37L-07	2572.2983	252.6477
TCGA-EJ-7781-01A-11R-2118-07	2570.9121	1898.3328
TCGA-HC-8266-01A-11R-2263-07	2563.3608	493.7255
TCGA-EJ-7115-11A-01R-2118-07	2563.0608	647.2873
TCGA-HC-7211-01A-11R-2118-07	2562.8753	2911.5305
TCGA-HC-8258-01A-11R-2263-07	2557.4642	675.9259
TCGA-EJ-7789-11A-01R-2118-07	2555.1677	920.3131
TCGA-CH-5766-01A-11R-1580-07	2542.7304	952.0193
TCGA-M7-A722-01A-12R-A36G-07	2537.6116	80.0173
TCGA-CH-5767-11B-01R-1789-07	2537.2907	551.3693
TCGA-EJ-7793-11A-01R-2263-07	2530.7232	785.1818
TCGA-YL-A8S8-01A-11R-A37L-07	2530.0785	1086.5312
TCGA-KK-A8ID-01A-11R-A36G-07	2523.5353	1066.5604
TCGA-V1-A9ZK-01A-11R-A41O-07	2521.7892	851.0485
TCGA-EJ-7314-11A-01R-2118-07	2519.426	1301.5453
TCGA-VN-A88R-01A-11R-A36G-07	2517.301	258.4779
TCGA-HC-7212-01A-11R-2118-07	2515.103	1997.0875
TCGA-EJ-7330-11A-01R-2118-07	2511.8925	978.6646
TCGA-YL-A8HK-01A-11R-A36G-07	2509.3472	781.7538
TCGA-HC-8256-01A-11R-2263-07	2493.6924	903.0597
TCGA-EJ-7123-11A-01R-1965-07	2492.4222	1187.5
TCGA-HC-8259-11A-01R-2263-07	2492.3759	461.4858
TCGA-EJ-A65M-01A-11R-A29R-07	2488.6754	52.4017
TCGA-HC-7821-01A-12R-2118-07	2487.7668	1410.029
TCGA-EJ-7330-01A-11R-2118-07	2487.5766	2584.2609
TCGA-HC-7738-11A-01R-2118-07	2483.0397	1229.4924
TCGA-KK-A6E0-01A-11R-A311-07	2465.2606	304.3243
TCGA-EJ-7794-11A-01R-2118-07	2460.9102	1263.2433
TCGA-G9-7521-01A-11R-2263-07	2459.1317	1305.1219
TCGA-KK-A8IG-01A-11R-A36G-07	2456.5813	469.4581
TCGA-XJ-A83H-01A-11R-A352-07	2450.4717	557.2327
TCGA-EJ-7781-11A-01R-2118-07	2444.2593	1181.6911
TCGA-CH-5743-01A-21R-1580-07	2433.3932	415.6023
TCGA-EJ-7782-11A-01R-2118-07	2430.632	632
TCGA-CH-5754-01A-11R-1580-07	2419.7321	1272.7867
TCGA-EJ-5495-01A-01R-1580-07	2399.5235	1705.8108
TCGA-CH-5762-01A-11R-1580-07	2399.2255	1032.8125
TCGA-EJ-5524-01A-01R-1580-07	2381.5623	1082.3573
TCGA-EJ-7786-11A-01R-2118-07	2366.433	1560.7599
TCGA-HC-8262-11A-01R-2263-07	2357.7377	489.9557
TCGA-EJ-5542-01A-01R-1580-07	2351.793	1113.5463
TCGA-ZG-A9LY-01A-11R-A41O-07	2351.5961	307.3666
TCGA-EJ-7315-11A-01R-2118-07	2339.7153	1356.6327
TCGA-FC-7961-01A-11R-A29R-07	2333.7527	456.3183
TCGA-EJ-5508-01A-02R-1580-07	2333.743	1460.6399
TCGA-EJ-7125-11A-01R-1965-07	2317.5865	451.8028
TCGA-EJ-7315-01A-31R-2118-07	2292.0405	891.6185
TCGA-EJ-5498-01A-01R-1580-07	2283.0493	1330.6538
TCGA-EJ-5527-01A-01R-1580-07	2278.7316	1393.3193
TCGA-J4-A6G3-01A-11R-A311-07	2272.846	375.8653
TCGA-HC-7210-01A-11R-2118-07	2264.3882	1611.6114
TCGA-CH-5748-01A-11R-1580-07	2261.7473	1176.397
TCGA-YL-A8S9-01A-11R-A37L-07	2259.3431	1034.663
TCGA-ZG-A9ND-01A-11R-A41O-07	2254.1518	414.3178
TCGA-KK-A6E7-01A-11R-A31N-07	2250.288	156.5532
TCGA-EJ-7115-01A-11R-2118-07	2249.5984	862.6836
TCGA-CH-5745-01A-11R-1580-07	2245.6295	617.1813
TCGA-HC-8264-01B-11R-2403-07	2241.2037	1283.4967
TCGA-EJ-5515-01A-01R-1580-07	2235.0744	1057.7566
TCGA-HC-8261-01A-11R-2263-07	2215.3743	769.7225
TCGA-EJ-8470-01A-11R-2403-07	2203.884	997.7806
TCGA-EJ-5517-01A-01R-1580-07	2192.0025	627.5189
TCGA-EJ-5497-01A-02R-1580-07	2189.2285	1175.9749
TCGA-KK-A8IJ-01A-11R-A352-07	2123.7132	675.5077
TCGA-EJ-7331-01A-11R-2118-07	2121.808	2352.1984
TCGA-CH-5737-01A-11R-1580-07	2100.6497	848.5452
TCGA-EJ-A7NN-01A-11R-A33R-07	2094.574	821.7863
TCGA-YL-A8HM-01A-11R-A36G-07	2088.1641	644.0116
TCGA-XK-AAJP-01A-11R-A41O-07	2052.4548	818.6966
TCGA-EJ-5505-01A-01R-1580-07	2041.6036	1177.1429
TCGA-YL-A8SH-01B-11R-A37L-07	2041.1628	281.1839
TCGA-KK-A5A1-01A-11R-A29R-07	2017.469	264.9827
TCGA-XK-AAIR-01A-11R-A41O-07	2001.6502	1340.6723
TCGA-VN-A943-01A-11R-A41O-07	1975.5767	601.2556
TCGA-EJ-7123-01A-11R-1965-07	1966.4908	1414.2962
TCGA-EJ-5504-01A-01R-1580-07	1963.1063	876.7562
TCGA-ZG-A9L5-01A-12R-A41O-07	1946.6106	1042.7954
TCGA-EJ-5514-01A-01R-1580-07	1933.9093	1784.4502
TCGA-CH-5767-01A-11R-1789-07	1928.8231	1008.6207
TCGA-CH-5763-01A-11R-1580-07	1896.7362	766.0947
TCGA-J9-A8CN-01A-11R-A352-07	1890.8045	466.4804
TCGA-KK-A59X-01A-11R-A29R-07	1864.3773	221.5156
TCGA-CH-5772-01A-11R-1580-07	1852.6957	1044.2688
TCGA-EJ-5532-01A-01R-1580-07	1834.6186	1295.3995
TCGA-CH-5751-01A-11R-1580-07	1814.621	2528.0374
TCGA-EJ-7789-01A-11R-2118-07	1813.7204	2364.8419
TCGA-FC-A5OB-01A-11R-A29R-07	1749.9105	483.9925
TCGA-KK-A6E8-01A-11R-A31N-07	1749.1851	105.1308
TCGA-EJ-8468-01A-21R-2403-07	1709.4829	1518.5185
TCGA-EJ-A65E-01A-11R-A29R-07	1695.515	278.2813
TCGA-EJ-5496-01A-01R-1580-07	1674.9377	1096.2644
TCGA-YJ-A8SW-01A-11R-A37L-07	1661.8094	1739.9281
TCGA-KK-A59Z-01A-12R-A26U-07	1642.4797	442.6419
TCGA-EJ-5516-01A-01R-1580-07	1595.2901	1253.6996
TCGA-EJ-5526-01A-01R-1580-07	1496.3955	1170.6745
TCGA-CH-5753-01A-11R-1580-07	1039.7004	1903.1676
TCGA-EJ-7125-01A-11R-1965-07	936.6532	1855.3244

