Hybridization REF	CTBP1|1487	AR|367
TCGA-HC-A6AN-01A-11R-A30B-07	4294.879	56.6005
TCGA-G9-6347-01A-11R-A31N-07	4289.932	14.3005
TCGA-2A-A8W3-01A-11R-A37L-07	4285.9415	1353.5064
TCGA-V1-A8MM-01A-11R-A37L-07	4283.4249	70.1668
TCGA-HI-7168-01A-11R-2118-07	4270.2486	290.0552
TCGA-G9-6348-01A-11R-1789-07	4268.0115	131.284
TCGA-G9-A9S0-01A-11R-A41O-07	4263.9803	160
TCGA-G9-6498-01A-12R-A311-07	4250.1176	115.6043
TCGA-2A-A8VT-01A-11R-A37L-07	4249.8309	2750.3676
TCGA-J9-A8CK-01A-11R-A352-07	4236.7532	155.6831
TCGA-CH-5744-01A-11R-1580-07	4234.9445	783.1715
TCGA-HC-A631-01A-11R-A29R-07	4234.2012	353.3619
TCGA-WW-A8ZI-01A-11R-A37L-07	4221.327	561.2035
TCGA-EJ-7312-01B-21R-A32O-07	4209.535	155.882
TCGA-FC-A6HD-01A-11R-A31N-07	4190.4908	98.4812
TCGA-J4-A6M7-01A-11R-A31N-07	4190.0362	493.4918
TCGA-KK-A7B1-01A-11R-A32O-07	4189.7356	526.7857
TCGA-XK-AAJA-01A-11R-A41O-07	4189.6951	371.1808
TCGA-MG-AAMC-01A-11R-A41O-07	4189.4771	145.7516
TCGA-KK-A6E3-01A-21R-A30B-07	4183.2189	39.6391
TCGA-KC-A7FD-01A-11R-A33R-07	4179.2749	516.7046
TCGA-V1-A9O5-06A-11R-A41O-07	4178.1289	998.4507
TCGA-EJ-7788-01A-11R-2118-07	4172.5379	1177.3775
TCGA-HC-A8D0-01A-11R-A36G-07	4153.2905	285.7978
TCGA-VN-A88N-01A-11R-A36G-07	4151.8811	158.4253
TCGA-KK-A59V-01A-11R-A29R-07	4148.475	76.9328
TCGA-VN-A88K-01A-11R-A352-07	4148.1551	804.85
TCGA-VN-A88P-01A-11R-A352-07	4146.2364	411.3152
TCGA-HC-A6HX-01A-11R-A31N-07	4142.8809	37.5536
TCGA-G9-6348-11A-01R-1789-07	4142.8699	127.0789
TCGA-EJ-A7NM-01A-21R-A33R-07	4134.381	254.7895
TCGA-G9-6365-01A-11R-1789-07	4134.0399	192.3379
TCGA-KK-A8I6-01A-11R-A36G-07	4131.4479	400.3861
TCGA-ZG-A9L9-01A-11R-A41O-07	4130.3042	53.961
TCGA-YL-A8HL-01A-11R-A36G-07	4120.0042	1293.378
TCGA-KK-A7AQ-01A-11R-A33R-07	4119.0095	144.7242
TCGA-ZG-A9LB-01A-11R-A41O-07	4116.4646	137.741
TCGA-HC-7747-01A-11R-2118-07	4115.9917	300
TCGA-V1-A9ZR-01A-11R-A41O-07	4113.2818	874.9308
TCGA-G9-6499-11A-02R-1965-07	4105.3813	171.7249
